"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"268","PPAN",0.00574,0.750818532813742,"YES","NO","NO"
"269","KLHL3",0.00582,0.751660308695557,"YES","NO","NO"
"270","ZNF366",0.00586,0.752496099960147,"YES","NO","NO"
"271","EXO1",0.305,0.753325833787328,"NO","NO","NO"
"272","TSPYL5",0.00617,0.754151212636123,"YES","NO","NO"
"273","STRBP",0.00628,0.754971171932269,"YES","NO","NO"
"274","BRSK2",0.0063,0.755785258195221,"YES","NO","NO"
"275","NEIL3",0.0064,0.756593975238943,"YES","NO","NO"
"276","ITGB6",0.317,0.757397209076078,"NO","NO","NO"
"277","ANK2",0.00647,0.758194644239244,"YES","NO","NO"
"278","GTF3C4",0.00662,0.758987128754645,"YES","NO","NO"
"279","TRIM5",0.32,0.759773954151358,"NO","NO","NO"
"280","MAPK4",0.00674,0.760555745636185,"YES","NO","NO"
"281","SLC12A2",0.00675,0.761332022610592,"YES","NO","NO"
"282","LRRC40",0.324,0.762103208344172,"NO","NO","NO"
"283","AKAP12",0.00713,0.762870343171437,"YES","NO","NO"
"284","GMEB1",0.00714,0.763632121434354,"YES","NO","NO"
"285","ZYG11B",0.00715,0.764388599433588,"YES","NO","NO"
"286","ENTPD4",0.00718,0.765139923044258,"YES","NO","NO"
"287","CSTF3",0.00722,0.765886190055065,"YES","NO","NO"
"288","C22orf39",0.00726,0.766627451838975,"YES","NO","NO"
"289","SPAG5",0.00728,0.767363671587772,"YES","NO","NO"
"290","RABIF",0.00735,0.768095117733258,"YES","NO","NO"
"291","POLR2K",0.00744,0.768821920436208,"YES","NO","NO"
"292","INTS6",0.00748,0.769543913023408,"YES","NO","NO"
"293","MAP7",0.00749,0.770261019001817,"YES","NO","NO"
"294","SLC52A2",0.00757,0.770973576305429,"YES","NO","NO"
"295","TERF1",0.00767,0.771681706920374,"YES","NO","NO"
"296","DEXI",0.00782,0.772385644293188,"YES","NO","NO"
"297","CTBP1",0.00789,0.773085111324327,"YES","NO","NO"
